"Name, Vornamen",Geburts­jahr,Partei,kandidiert im/für,ausgeschieden
"Spies, Alexander",1955,PIRATEN,"Wahlkreis 081
    und 
    Land Berlin (Platz 6)",
"Spinrath, Norbert",1957,SPD,"Wahlkreis 089
    und 
    Land Nordrhein-Westfalen (Platz 35)",
"Dr. Spreitzer, Uli Willibald",1966,ÖDP,Land Hessen (Platz 4),
"Sprengard, Achim Peter",1975,Volt,Land Hessen (Platz 8),
"Springer, Andrej",1960,PIRATEN,Land Berlin (Platz 8),
"Springer, Linus",1995,FREIE WÄHLER,"Wahlkreis 217
    und 
    Land Bayern (Platz 23)",
"Springer, René",1979,AfD,Land Brandenburg (Platz 2),
"Staab, Niklas",1990,Die PARTEI,Land Hessen (Platz 20),
"Staat, Carsten",1980,Die PARTEI,Wahlkreis 164,
"Stachowiak, Mitja",1993,Klimaliste Darmstadt-Dieburg,Wahlkreis 186,
"Stadelmann, Christian Günter",1991,ÖDP,"Wahlkreis 242
    und 
    Land Bayern (Platz 37)",
"Stadler, Ralf",1964,AfD,Wahlkreis 229,
"Stadler, Svenja",1976,SPD,"Wahlkreis 036
    und 
    Land Niedersachsen (Platz 4)",
"Städter, Christine",1989,V-Partei³,Land Sachsen (Platz 2),
"Städter, Peter",1971,PIRATEN,Land Thüringen (Platz 1),
"Staffehl, Katja",1982,Die PARTEI,Wahlkreis 189,
"Staffler, Katrin",1981,CSU,"Wahlkreis 215
    und 
    Land Bayern (Platz 18)",
"Stahl, Karsten",1972,FREIE WÄHLER,"Wahlkreis 172
    und 
    Land Hessen (Platz 16)",
"Stähle, Jennifer",1979,Die PARTEI,Land Bremen (Platz 15),
"Stähly, Jan",1991,SPD,Land Saarland (Platz 15),
"Stahr, Nina",1982,GRÜNE,"Wahlkreis 079
    und 
    Land Berlin (Platz 5)",
"Staib, Rainer Martin",1969,CDU,Land Baden-Württemberg (Platz 25),
"Staiger, Claudia Selma",1959,CDU,Land Niedersachsen (Platz 58),
"Staiger, Daniel",1985,Volt,"Wahlkreis 142
    und 
    Land Nordrhein-Westfalen (Platz 2)",
"Stamm, Anne",1985,SPD,"Wahlkreis 071
    und 
    Land Sachsen-Anhalt (Platz 6)",
"Stamm, Markus Hubertus",1970,ÖDP,Land Nordrhein-Westfalen (Platz 6),
"Dr. Stamm, Roger Kurt Siegfried",1953,MLPD,Wahlkreis 096,
"Stamm-Fibich, Martina Margarete",1965,SPD,"Wahlkreis 242
    und 
    Land Bayern (Platz 18)",
"Stänicke, Dario",1995,Tierschutzpartei,Land Berlin (Platz 10),
"Stankus, Heike Christine",1960,ÖDP,Land Baden-Württemberg (Platz 16),
"Stark, Daniel",1983,FDP,"Wahlkreis 250
    und 
    Land Bayern (Platz 61)",
"Stark, Mathias Waldemar",1968,Die PARTEI,Land Sachsen (Platz 17),
"Starkmeth, Nikolaus",1953,Die PARTEI,"Wahlkreis 222
    und 
    Land Bayern (Platz 69)",
"Stark-Watzinger, Bettina",1968,FDP,"Wahlkreis 181
    und 
    Land Hessen (Platz 1)",
"Starosta, Robert Peter",1970,FREIE WÄHLER,Wahlkreis 251,
"Staß, Stephan",1980,Die PARTEI,Wahlkreis 090,
"Stattaus, Kim",1977,GRÜNE,Wahlkreis 059,
"Statz, Henrik Jan",1974,FDP,"Wahlkreis 180
    und 
    Land Hessen (Platz 15)",
"Statzberger, Karl-Heinz",1980,III. Weg,Land Bayern (Platz 1),
"Staudt, Marco",1973,AfD,Wahlkreis 209,
"Staufenbiel, Andreas Stephan Johannes",1987,FREIE WÄHLER,"Wahlkreis 220
    und 
    Land Bayern (Platz 7)",
"Stawitz, Ingo",1950,NPD,Wahlkreis 021,
"Steckbauer, Tim",1999,DIE LINKE,"Wahlkreis 270
    und 
    Land Baden-Württemberg (Platz 20)",
"Steenwerth, Knut",1947,Die PARTEI,Land Berlin (Platz 32),
"Stefan, Marie Chantal",2001,Die PARTEI,Wahlkreis 225,
"Stefanowicz, Sören",1974,AfD,Wahlkreis 068,
"Steffel, Dirk",1969,FREIE WÄHLER,"Wahlkreis 077
    und 
    Land Berlin (Platz 4)",
"Steffen, Christine",1991,Volt,Land Niedersachsen (Platz 7),
"Steffen, Jan Oliver",1973,Die PARTEI,Land Hessen (Platz 25),
"Dr. Steffen, Till Benjamin",1973,GRÜNE,"Wahlkreis 020
    und 
    Land Hamburg (Platz 2)",
"Steffen-Boxhorn, Andrea Gertrud Edith",1968,ÖDP,Land Rheinland-Pfalz (Platz 14),
"Steffens, Evelyn Heike",1981,Volt,Land Brandenburg (Platz 1),
"Steffen-Stiehl, Christian",1973,FDP,"Wahlkreis 293
    und 
    Land Baden-Württemberg (Platz 23)",
"Dr. Stefinger, Wolfgang Dieter",1985,CSU,Wahlkreis 218,
"Stegemann, Albert",1976,CDU,"Wahlkreis 031
    und 
    Land Niedersachsen (Platz 29)",
"Stegemann, Berthold",1996,Die Humanisten,Wahlkreis 258,
"Stegemann, Heike Margit",1964,FDP,"Wahlkreis 011
    und 
    Land Schleswig-Holstein (Platz 7)",
"Stegemann, Klaus Julius",1960,DIE LINKE,Wahlkreis 127,
"Prof. Dr. Steger, Klaus Georg",1963,dieBasis,Land Bayern (Platz 17),
"Dr. Stegner, Ralf",1959,SPD,"Wahlkreis 007
    und 
    Land Schleswig-Holstein (Platz 3)",
"Stehl, Florian",1994,CDU,Land Sachsen (Platz 17),
"Stehling, Walter Hermann-Josef",1959,DKP,Wahlkreis 094,
"Dr. Stehr, Michael",1966,FREIE WÄHLER,"Wahlkreis 098
    und 
    Land Nordrhein-Westfalen (Platz 8)",
"Stehr, Simone Tatjana",1970,CDU,Land Nordrhein-Westfalen (Platz 73),
"Steidel, Isabell Charlotte",1997,GRÜNE,"Wahlkreis 267
    und 
    Land Baden-Württemberg (Platz 30)",
"Steier, Andreas",1972,CDU,"Wahlkreis 203
    und 
    Land Rheinland-Pfalz (Platz 11)",
"Steimle, Bianca Daniela",1974,DIE LINKE,"Wahlkreis 201
    und 
    Land Rheinland-Pfalz (Platz 3)",
"Dr. Stein, Dieter",1957,Internationalistisches Bündnis,"Wahlkreis 187
    und 
    Land Hessen (Platz 9)",
"Stein, Jan",1975,Die PARTEI,Land Thüringen (Platz 1),
"Stein, Jens Mathias",1970,SPD,"Wahlkreis 005
    und 
    Land Schleswig-Holstein (Platz 7)",
"Stein, Michael Erwin",1960,dieBasis,Wahlkreis 022,
"Stein, Peter",1968,CDU,"Wahlkreis 014
    und 
    Land Mecklenburg-Vorpommern (Platz 6)",
"Stein, Silvan",1989,PIRATEN,Land Rheinland-Pfalz (Platz 7),
"Steinacker, Christian",1976,SPD,"Wahlkreis 104
    und 
    Land Nordrhein-Westfalen (Platz 55)",
"Steinau, Andreas Benjamin",1993,Die Humanisten,"Wahlkreis 291
    und 
    Land Baden-Württemberg (Platz 7)",
"Steinberger, Marietta",1961,Die PARTEI,Land Bayern (Platz 39),
"Steinböck, Anton",1943,BP,Wahlkreis 252,
"Steineke, Sebastian",1973,CDU,"Wahlkreis 056
    und 
    Land Brandenburg (Platz 5)",
"Dr. Steiner, Dagmar",1964,CDU,Land Schleswig-Holstein (Platz 14),
"Steinfeldt, Jörg",1962,Tierschutzpartei,Land Hamburg (Platz 5),
"Steinhardt, Susanne",1955,DKP,"Wahlkreis 062
    und 
    Land Brandenburg (Platz 3)",
"Steinhübl, Ruprecht",1974,GRÜNE,Land Bayern (Platz 64),
"Steiniger, Johannes Eberhard",1987,CDU,"Wahlkreis 208
    und 
    Land Rheinland-Pfalz (Platz 8)",
"Steinke, Kerstin Michaela",1971,FREIE WÄHLER,Land Hamburg (Platz 9),
"Steinmann, Uwe",1988,Die Humanisten,Land Baden-Württemberg (Platz 12),
"Steinmüller, Axel",1963,Bündnis C,Land Hessen (Platz 8),
"Steinmüller, Hanna",1993,GRÜNE,"Wahlkreis 075
    und 
    Land Berlin (Platz 9)",
"Steinzen, Sebastian",1976,FDP,"Wahlkreis 125
    und 
    Land Nordrhein-Westfalen (Platz 54)",
"Stekly, Anne",1991,Die PARTEI,Land Niedersachsen (Platz 5),
"Stellbrink, Lothar Klaus Götz",1961,LKR,Land Nordrhein-Westfalen (Platz 18),
"Stemmer, Lisa",1990,ÖDP,Wahlkreis 086,
"Stemplowski, Sabrina",1986,CSU,Land Bayern (Platz 62),
"Stenger, Holger Johannes",1961,LKR,"Wahlkreis 247
    und 
    Land Bayern (Platz 7)",
"Stening, Karsten Michael",1968,LKR,Land Nordrhein-Westfalen (Platz 20),
"Stennei, Nils Oliver Arne",1998,GRÜNE,Wahlkreis 121,
"Stentzler, Ulrike",1962,CDU,Land Schleswig-Holstein (Platz 16),
"Stenzel, Andrea",1964,V-Partei³,Land Niedersachsen (Platz 7),
"Stephan, Sabine",1967,LKR,Land Schleswig-Holstein (Platz 7),
"Stephan, Thomas",1970,AfD,Wahlkreis 208,
"Stephan, Walter Heinrich",1953,UNABHÄNGIGE,Land Bayern (Platz 5),
"Sternberg-Mottaghi Irvani, Valerie Susanne Magdalena",1991,Volt,"Wahlkreis 075
    und 
    Land Berlin (Platz 1)",
"Freiherr von Stetten, Christian Alexander",1970,CDU,Wahlkreis 268,
"Stetzkowski, Thorsten",1974,Die PARTEI,Land Berlin (Platz 43),
"Steuer, Dominik Stefan",1990,Die PARTEI,Wahlkreis 293,
"Steuler, Jens-Christian",1980,dieBasis,"Wahlkreis 204
    und 
    Land Rheinland-Pfalz (Platz 1)",
"Sthamer, Nadja",1990,SPD,"Wahlkreis 153
    und 
    Land Sachsen (Platz 6)",
"Stier, Dieter",1964,CDU,"Wahlkreis 073
    und 
    Land Sachsen-Anhalt (Platz 2)",
"Stier, Paula Maria",1997,ÖDP,Land Brandenburg (Platz 6),
"Stinder, Sascha",1972,Tierschutzpartei,Land Nordrhein-Westfalen (Platz 10),
"Stöber, Klaus",1961,AfD,Wahlkreis 190,
"Stöcker, Diana Iris",1970,CDU,Wahlkreis 282,
"Stocker, Lea Viola",1991,V-Partei³,Wahlkreis 282,
"Stocker, Maximilian Leopold",1998,Die PARTEI,Land Bayern (Platz 19),
"Stockert, Hannes",1972,MLPD,"Wahlkreis 118
    und 
    Land Nordrhein-Westfalen (Platz 11)",
"Stockinger, Uwe-Friedrich",1960,BÜRGERBEWEGUNG,Land Baden-Württemberg (Platz 12),
"Stockmann, Matti Günter",2003,Die PARTEI,Land Bayern (Platz 18),
"Stockmeier, Konrad Johann Lorenz",1977,FDP,"Wahlkreis 275
    und 
    Land Baden-Württemberg (Platz 13)",
"Dr. Stoffers, Alrik",1990,Die PARTEI,"Wahlkreis 012
    und 
    Land Mecklenburg-Vorpommern (Platz 1)",
"Stojic, Dennis",1999,FDP,Land Bremen (Platz 11),
"Stolper, Manfred",1962,DKP,Wahlkreis 129,
"Stölting, Sebastian",1990,GRÜNE,"Wahlkreis 131
    und 
    Land Nordrhein-Westfalen (Platz 34)",
"Stölting, Torsten Albert",1978,Volt,Land Nordrhein-Westfalen (Platz 16),
"Stolz, André",1972,CDU,Land Hessen (Platz 24),
"Stolz, Sandor",1966,dieBasis,"Wahlkreis 002
    und 
    Land Schleswig-Holstein (Platz 10)",
"Stoop, David Christopher",1983,DIE LINKE,Wahlkreis 018,
"Stopfkuchen, John",1976,dieBasis,Land Thüringen (Platz 6),
"Dr. Stoppenbrink, Katja",1976,SPD,"Wahlkreis 098
    und 
    Land Nordrhein-Westfalen (Platz 42)",
"von Storch, Beatrix",1971,AfD,"Wahlkreis 075
    und 
    Land Berlin (Platz 1)",
"Storjohann, Gero",1958,CDU,"Wahlkreis 008
    und 
    Land Schleswig-Holstein (Platz 5)",
"Storm, Ulrich Helmut",1948,AfD,Wahlkreis 058,
"Stötzel, Martha Lina",1999,GRÜNE,Land Nordrhein-Westfalen (Platz 66),
"Stöver, Birgit",1970,CDU,Land Hamburg (Platz 9),
"Stracke, Johannes Maximilian",1981,SPD,Land Nordrhein-Westfalen (Platz 82),
"Stracke, Stephan",1974,CSU,Wahlkreis 257,
"Strackeljan, Luisa",1998,Volt,Land Sachsen-Anhalt (Platz 2),
"Dr. Strack-Zimmermann, Marie-Agnes",1958,FDP,"Wahlkreis 106
    und 
    Land Nordrhein-Westfalen (Platz 2)",
"Straetmanns, Friedrich Karl Otto",1961,DIE LINKE,"Wahlkreis 132
    und 
    Land Nordrhein-Westfalen (Platz 10)",
"Straif, Paul",1982,MLPD,Wahlkreis 106,
"Strasser, Benjamin",1987,FDP,"Wahlkreis 294
    und 
    Land Baden-Württemberg (Platz 6)",
"Strasser, Jessica",1994,Team Todenhöfer,Land Saarland (Platz 3),
"Stratmann, Miriam",1987,Die PARTEI,Land Nordrhein-Westfalen (Platz 51),
"Straub, Richard Nikolaus",1952,MLPD,Wahlkreis 242,
"Straub, Ute Edith",1958,dieBasis,Land Hessen (Platz 24),
"Straube, Elmar Sebastian Wolfgang",1987,dieBasis,Land Bayern (Platz 24),
"Straubinger, Max",1954,CSU,Wahlkreis 230,
"Strauhs, Wolfgang",1964,GRÜNE,Wahlkreis 068,
"Strauß, Otto Winfried",1954,AfD,Wahlkreis 147,
"Strauß, Patrick",1976,FREIE WÄHLER,"Wahlkreis 054
    und 
    Land Bremen (Platz 2)",
"Streeck, Katrin",1963,ÖDP,Land Mecklenburg-Vorpommern (Platz 2),
"Streitberger, Michael Horst Ludwig",1955,LKR,"Wahlkreis 287
    und 
    Land Baden-Württemberg (Platz 1)",
"Strenger, Uta",1966,ÖDP,"Wahlkreis 151
    und 
    Land Sachsen (Platz 2)",
"Dr. Strengmann-Kuhn, Wolfgang",1964,GRÜNE,"Wahlkreis 185
    und 
    Land Hessen (Platz 4)",
"Stricker, Kai Robin",1992,Volt,Land Baden-Württemberg (Platz 4),
"Strickner, Gerald",1953,BüSo,Wahlkreis 222,
"Striess, Nicole",1972,FREIE WÄHLER,"Wahlkreis 027
    und 
    Land Niedersachsen (Platz 9)",
"Stritzl, Thomas",1957,CDU,"Wahlkreis 005
    und 
    Land Schleswig-Holstein (Platz 13)",
"Ströhlein, Tim Harald",1989,Die PARTEI,Wahlkreis 238,
"Ströhm, Eva Maria",1965,dieBasis,Wahlkreis 230,
"Strohmaier, Norbert",1982,CDU,Land Baden-Württemberg (Platz 36),
"Ströse, Dana",1983,Die PARTEI,Land Nordrhein-Westfalen (Platz 2),
"Strzalka, Sebastian",1983,Die PARTEI,Land Nordrhein-Westfalen (Platz 89),
"Stubbe, Marcel",1991,Bündnis C,"Wahlkreis 105
    und 
    Land Nordrhein-Westfalen (Platz 1)",
"Stübbe, Martin",1985,DiB,Land Baden-Württemberg (Platz 17),
"Stubbe, Sandra",1968,Bündnis C,Land Nordrhein-Westfalen (Platz 4),
"Stucke, Ingo",1971,SPD,Land Nordrhein-Westfalen (Platz 71),
"Stuckmann, Ingo",1967,GRÜNE,Wahlkreis 150,
"Stulz, Matthias",1968,FREIE WÄHLER,Wahlkreis 283,
"Stumpf, Markus Alexander",1987,CSU,Land Bayern (Platz 57),
"Stumpf, Sebastian",1974,Die PARTEI,Land Bremen (Platz 25),
"Stumpp, Christina Daniela",1987,CDU,Wahlkreis 264,
"Stumpp, Margit Theresia",1963,GRÜNE,"Wahlkreis 270
    und 
    Land Baden-Württemberg (Platz 20)",
"Sturm, Dennis",1987,FDP,"Wahlkreis 204
    und 
    Land Rheinland-Pfalz (Platz 12)",
"Stüwe, Jasmin",1990,FDP,Wahlkreis 063,
"Stüwe, Ruppert Fritz Johannes",1978,SPD,"Wahlkreis 079
    und 
    Land Berlin (Platz 5)",
"Subat, Katharina Christina",1988,Die PARTEI,Wahlkreis 152,
"Suchardt, Madlen",1989,Die PARTEI,Land Berlin (Platz 14),
"Suckrow, Harald",1961,Die PARTEI,Land Berlin (Platz 33),
"Sudmann, Wilhelm Heinrich Friedrich",1960,NPD,Land Niedersachsen (Platz 5),
"Suermondt, Julia Edith Loretta",1981,DIE LINKE,Wahlkreis 110,
"Suhr, Christian",1980,DIE LINKE,Wahlkreis 028,
"Suhr, Roland",1976,BÜRGERBEWEGUNG,Land Baden-Württemberg (Platz 23),
"Suhr, Stefan",1979,NPD,Land Mecklenburg-Vorpommern (Platz 4),
"Sujana-Ṣen, Derya",1980,Die PARTEI,Wahlkreis 209,
"Sulfrian, Helge",1965,SPD,Land Nordrhein-Westfalen (Platz 81),
"Sullenberger, Uta",1970,GRÜNE,Wahlkreis 298,
"Sülz, Mario",1969,FREIE WÄHLER,Wahlkreis 105,
"Susen, Axel",1960,dieBasis,Wahlkreis 088,
"Susojev, Helene",1979,LIEBE,"Wahlkreis 091
    und 
    Land Nordrhein-Westfalen (Platz 1)",
"Süßbier, Peter",1973,NPD,Land Thüringen (Platz 3),
"Suttner, Bernhard",1985,ÖDP,"Wahlkreis 212
    und 
    Land Bayern (Platz 29)",
"Swoboda, Hendrik",1983,V-Partei³,Land Sachsen (Platz 4),
"Dr. Swoboda, Susanna",1966,SSW,Land Schleswig-Holstein (Platz 13),
"Szalay, Stefan Robert",1977,Gesundheitsforschung,Land Bayern (Platz 6),
"Szramek, Sven",1972,SPD,Land Brandenburg (Platz 15),
"Szutkowski, Alan Stanislaw",1991,Team Todenhöfer,Land Hamburg (Platz 2),
"Taborsky, Evelyn",1957,FREIE WÄHLER,Wahlkreis 133,
"Dr. Täck, Ulrike",1968,GRÜNE,Land Schleswig-Holstein (Platz 13),
"Täge, Mathias",1980,PIRATEN,Wahlkreis 060,
"Talkenberger, Dirk",1974,dieBasis,Land Sachsen-Anhalt (Platz 5),
"Talmassany, Samira",1986,Team Todenhöfer,Land Nordrhein-Westfalen (Platz 9),
"Talsky, Thomas Gerhard Alexander",1990,DKP,Land Bayern (Platz 3),
"Tamer, Nurhan",1979,Team Todenhöfer,Land Hessen (Platz 2),
"Tamm, Claudia",1968,GRÜNE,Wahlkreis 012,
"Tankacheyev, Emil",2002,DIE LINKE,Wahlkreis 011,
"Tanneberger, Uwe Frank",1968,FREIE WÄHLER,"Wahlkreis 062
    und 
    Land Brandenburg (Platz 5)",
"Tarantik, Hansjörg",1949,DiB,Land Baden-Württemberg (Platz 20),
"Tarrach, Annie Maria",1993,Die PARTEI,Land Berlin (Platz 20),
"Taş, Hakan",1966,DIE LINKE,Wahlkreis 077,
"Taschke, Anika",1991,DIE LINKE,Land Berlin (Platz 9),
"Tatti, Jessica Nadine",1981,DIE LINKE,"Wahlkreis 289
    und 
    Land Baden-Württemberg (Platz 3)",
"Täuber, Markus",1987,CSU,Land Bayern (Platz 29),
"Taubert, Markus Peter",1996,ÖDP,"Wahlkreis 159
    und 
    Land Sachsen (Platz 3)",
"Taubmann, Theo",1955,AfD,Wahlkreis 240,
"Taucher, Josephine Anna",1986,DIE LINKE,Land Bayern (Platz 15),
"Tausend, Claudia Rosina",1964,SPD,"Wahlkreis 218
    und 
    Land Bayern (Platz 10)",
"Tautz, Gabriele",1963,Tierschutzpartei,"Wahlkreis 040
    und 
    Land Niedersachsen (Platz 6)",
"Tawil, Mohamad Rafic Mustapha",1953,MLPD,"Wahlkreis 082
    und 
    Land Berlin (Platz 4)",
"Tayboga, Berivan",1991,SPD,Land Hessen (Platz 36),
"Dr. Tebroke, Hermann-Josef Johann",1964,CDU,"Wahlkreis 100
    und 
    Land Nordrhein-Westfalen (Platz 41)",
"Teckemeier, Aaron",1993,Die PARTEI,Land Bremen (Platz 12),
"Tegtmeier, Ines",1970,FDP,"Wahlkreis 234
    und 
    Land Bayern (Platz 17)",
"Tegtow, Thomas",1981,Die PARTEI,Wahlkreis 082,
"Teitz, Elise Ulrike",1977,Die PARTEI,Land Nordrhein-Westfalen (Platz 25),
"Dr. Teitz, Sebastian",1975,Die PARTEI,Land Nordrhein-Westfalen (Platz 7),
"Telemann, René",1981,dieBasis,Land Sachsen-Anhalt (Platz 14),
"Temme, Lars",1981,Die PARTEI,Land Nordrhein-Westfalen (Platz 91),
"Tempel, Frank",1969,DIE LINKE,"Wahlkreis 195
    und 
    Land Thüringen (Platz 4)",
"Dr. Terwiesche, Michael",1964,FDP,"Wahlkreis 114
    und 
    Land Nordrhein-Westfalen (Platz 45)",
"Terworth, Annika Maria",1981,dieBasis,Land Rheinland-Pfalz (Platz 2),
"Tesche, Andreas",1958,GRÜNE,"Wahlkreis 014
    und 
    Land Mecklenburg-Vorpommern (Platz 4)",
"Teschke, Felix Christopher",1996,Die Humanisten,Land Mecklenburg-Vorpommern (Platz 4),
"Tesfaiesus, Awet",1974,GRÜNE,"Wahlkreis 169
    und 
    Land Hessen (Platz 9)",
"Teßmann, Niklas",1997,Teßmann,Wahlkreis 087,
"Teuteberg, Linda",1981,FDP,"Wahlkreis 061
    und 
    Land Brandenburg (Platz 1)",
"Teutrine, Jens",1993,FDP,"Wahlkreis 133
    und 
    Land Nordrhein-Westfalen (Platz 18)",
"Thamm, Holger",1973,GRÜNE,Wahlkreis 149,
"Thedens, Katja",1965,FREIE WÄHLER,Land Schleswig-Holstein (Platz 9),
"Theemann, Hendrik",1969,FDP,"Wahlkreis 026
    und 
    Land Niedersachsen (Platz 20)",
"Theis, Claudia",1966,FREIE WÄHLER,"Wahlkreis 029
    und 
    Land Niedersachsen (Platz 1)",
"Theis, Frank",1967,dieBasis,Wahlkreis 278,
"Theiß, Norbert",1957,FREIE WÄHLER,Wahlkreis 095,
"Theiss, Stephanie",1988,GRÜNE,"Wahlkreis 171
    und 
    Land Hessen (Platz 19)",
"Then, Stefanie Helene",1968,SPD,Land Hessen (Platz 45),
"Theurer, Michael Alexander",1967,FDP,"Wahlkreis 271
    und 
    Land Baden-Württemberg (Platz 1)",
"Theveßen-Lamberty, Cornelia",1978,Die PARTEI,Land Nordrhein-Westfalen (Platz 14),
"Thews, Michael Eckardt",1964,SPD,"Wahlkreis 145
    und 
    Land Nordrhein-Westfalen (Platz 48)",
"Thiede, Anja Susanne",1971,CDU,Land Niedersachsen (Platz 54),
"Thiel, Annalena",2000,Die PARTEI,"Wahlkreis 136
    und 
    Land Nordrhein-Westfalen (Platz 57)",
"Thiel, Lina",2003,FDP,Wahlkreis 086,
"Thiel, Steffen",1976,NPD,Land Sachsen-Anhalt (Platz 6),
"Thiele, Klaus",1981,Die Grauen,Land Berlin (Platz 7),
"Thiele, Luise",1990,Tierschutzpartei,Land Mecklenburg-Vorpommern (Platz 7),
"Thiele, Marco",1984,FDP,"Wahlkreis 194
    und 
    Land Thüringen (Platz 4)",
"Thiele, Simon Florian",1995,Team Todenhöfer,Land Bayern (Platz 12),
"Thiel-Klein, Anne Renate Helga",1988,GRÜNE,Wahlkreis 085,
"Thielmann, Cornelia",1992,Die PARTEI,Land Bayern (Platz 1),
"Thiemann, Wolf Ulrich",1979,LKR,Land Nordrhein-Westfalen (Platz 11),
"Thienel, Michael",1987,Tierschutzpartei,Land Schleswig-Holstein (Platz 3),
"Thies, Hans-Jürgen",1955,CDU,"Wahlkreis 146
    und 
    Land Nordrhein-Westfalen (Platz 31)",
"Thiesen, Holger",1954,dieBasis,"Wahlkreis 004
    und 
    Land Schleswig-Holstein (Platz 2)",
"Dr. Thissen, Karin",1960,SPD,"Wahlkreis 003
    und 
    Land Schleswig-Holstein (Platz 8)",
"Thoden, Jan-Martin",1975,Volt,"Wahlkreis 023
    und 
    Land Hamburg (Platz 12)",
"Thomae, Stephan",1968,FDP,"Wahlkreis 256
    und 
    Land Bayern (Platz 6)",
"Thomas, Jana",1991,DIE LINKE,Land Niedersachsen (Platz 16),
"Thomas, Jurian Maximilian",1998,Die PARTEI,Land Nordrhein-Westfalen (Platz 64),
"Thomas, Simon",1992,V-Partei³,"Wahlkreis 117
    und 
    Land Nordrhein-Westfalen (Platz 1)",
"Thomas, Steffi",1984,Die PARTEI,Wahlkreis 156,
"Thomas-Lienkämper, Michael Martin",1962,DIE LINKE,Wahlkreis 150,
"Thomsen, Tim",1993,Volt,Land Schleswig-Holstein (Platz 8),
"Thöne, Henning Hans Ernst",1978,AfD,Wahlkreis 176,
"Thörmer, Falk Richard",1988,Volt,"Wahlkreis 107
    und 
    Land Nordrhein-Westfalen (Platz 6)",
"Throm, Alexander Richard",1968,CDU,"Wahlkreis 267
    und 
    Land Baden-Württemberg (Platz 13)",
"Thron, Jonathan",1986,BüSo,Land Berlin (Platz 3),
"Thümer, Jens-Uwe",1967,Die PARTEI,Land Niedersachsen (Platz 39),
"Thümmel, Matthias Gerhard",1972,Bündnis C,Land Bayern (Platz 6),
"Thümmel, Verena",1974,Bündnis C,"Wahlkreis 239
    und 
    Land Bayern (Platz 4)",
"Thüne, Christin",1962,AfD,Wahlkreis 185,
"Thurnhuber, Marinus",1959,BP,Wahlkreis 223,
"Thylmann, Tobias Michael Karl",1955,MLPD,Wahlkreis 144,
"Tiarks, Johanna Maria",1982,DIE LINKE,"Wahlkreis 259
    und 
    Land Baden-Württemberg (Platz 13)",
"Tickert, Rolf Paul Johannes",1955,MLPD,"Wahlkreis 296
    und 
    Land Saarland (Platz 1)",
"Tiedemann, Ralf",1965,FDP,"Wahlkreis 058
    und 
    Land Brandenburg (Platz 6)",
"Tielkes, Tim",1989,Gesundheitsforschung,Land Nordrhein-Westfalen (Platz 1),
"Dr. Tiemann, Dietlind Hildegard",1955,CDU,"Wahlkreis 060
    und 
    Land Brandenburg (Platz 6)",
"Tierbach, Georg",1991,Die PARTEI,Land Berlin (Platz 21),
"Tiessen, Anna Laura",1988,Volt,Land Bremen (Platz 1),
"Tietke, Ernst-Eckhard",1953,GRÜNE,Land Niedersachsen (Platz 38),
"Tietz, Vanessa",1989,CDU,Land Berlin (Platz 10),
"Tietz-Latza, Alexander Martin",1981,GRÜNE,Land Nordrhein-Westfalen (Platz 44),
"Tiggemann, Eric",1970,PIRATEN,"Wahlkreis 139
    und 
    Land Nordrhein-Westfalen (Platz 7)",
"Tillmann, Antje",1964,CDU,"Wahlkreis 193
    und 
    Land Thüringen (Platz 2)",
"Tillmann, Maria Anna Gertrud",1968,GRÜNE,"Wahlkreis 147
    und 
    Land Nordrhein-Westfalen (Platz 31)",
"Tilsner, Lena Josephin",1998,Die PARTEI,Land Nordrhein-Westfalen (Platz 47),
"Timm, Tassilo",1986,MLPD,"Wahlkreis 193
    und 
    Land Thüringen (Platz 1)",
"Timmermann, Ilona",1976,dieBasis,Wahlkreis 262,
"Timmermann-Fechter, Astrid",1963,CDU,"Wahlkreis 118
    und 
    Land Nordrhein-Westfalen (Platz 10)",
"Tippelt, Nico",1967,FDP,"Wahlkreis 165
    und 
    Land Sachsen (Platz 5)",
"Tirpitz, Julian",1998,Die PARTEI,Land Berlin (Platz 46),
"Többen, Jens Oliver",2000,Volt,Land Bayern (Platz 8),
"Tober, Kara",1995,ÖDP,"Wahlkreis 055
    und 
    Land Bremen (Platz 1)",
"Todenhöfer, Frederic Joachim",1983,Team Todenhöfer,Land Bayern (Platz 6),
"Dr. Todenhöfer, Jürgen Gerhard",1940,Team Todenhöfer,"Wahlkreis 218
    und 
    Land Bayern (Platz 1)",
"Todtenhausen, Manfred",1950,FDP,"Wahlkreis 102
    und 
    Land Nordrhein-Westfalen (Platz 19)",
"Tolksdorf, Robert",1988,Die PARTEI,Wahlkreis 230,
"Dr. Toloczyki, Christian",1953,dieBasis,"Wahlkreis 154
    und 
    Land Sachsen (Platz 13)",
"Tolzin, Hans Ulrich Peter",1958,Nie wieder sinnlose Lockdowns!,Wahlkreis 260,
"Dr. Toncar, Florian",1979,FDP,"Wahlkreis 260
    und 
    Land Baden-Württemberg (Platz 5)",
"Tönjes, Andreas",1969,Die PARTEI,Wahlkreis 026,
"Töns, Markus",1964,SPD,"Wahlkreis 123
    und 
    Land Nordrhein-Westfalen (Platz 56)",
"Topal, Baran",1990,GRÜNE,Land Baden-Württemberg (Platz 43),
